student_id,age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,exam_score
S1000,23,481,0.0,0.21428571428571427,0.23913043478260873,785,0.6296296296296298,0.7272727272727271,0.0,6,2.0,0.0,8,318,0.40650406504065045
S1001,20,481,0.9583333333333334,0.5,0.5,785,0.9333333333333331,0.212121212121212,1.0,6,1.0,0.0,8,682,1.0
S1002,21,477,0.19444444444444445,0.5535714285714286,0.28260869565217395,785,0.8716049382716049,0.7272727272727271,2.0,1,1.0,2.0,1,682,0.1097560975609756
S1003,23,481,0.1388888888888889,0.6964285714285714,0.2173913043478261,785,0.28395061728395055,0.9090909090909087,2.0,4,2.0,1.0,1,318,0.008130081300813052
S1004,19,481,0.6944444444444444,0.7857142857142858,0.10869565217391305,785,0.7753086419753088,0.2575757575757575,0.0,3,2.0,1.0,1,682,0.5447154471544717
S1005,24,477,1.0,0.23214285714285715,0.0,785,0.577777777777778,0.6363636363636362,0.0,1,2.0,0.0,4,682,1.0
S1006,21,481,0.7777777777777778,0.26785714285714285,0.30434782608695654,215,0.6493827160493826,0.49999999999999983,1.0,2,2.0,2.0,4,682,0.8617886178861789
S1007,21,481,0.5972222222222222,0.17857142857142858,0.4347826086956522,215,0.44938271604938285,0.212121212121212,0.0,0,0.0,0.0,8,682,0.6287262872628727
S1008,23,481,0.6111111111111112,0.3928571428571429,0.3695652173913044,785,1.0,0.5909090909090906,1.0,3,0.0,1.0,1,682,0.7140921409214094
S1009,18,481,0.6666666666666666,0.5535714285714286,0.28260869565217395,785,0.88641975308642,0.6515151515151514,1.0,5,0.0,1.0,10,318,1.0
S1011,23,477,0.5416666666666666,0.42857142857142855,0.5434782608695653,785,0.3012345679012347,0.7121212121212119,0.0,2,0.0,0.0,1,682,0.6531165311653118
S1012,19,481,0.513888888888889,0.375,0.08695652173913045,215,0.5333333333333332,0.19696969696969685,0.0,1,0.0,1.0,9,682,0.6869918699186992
S1013,19,481,0.4722222222222222,0.4821428571428572,0.5869565217391305,785,0.7358024691358023,0.22727272727272724,0.0,4,0.0,1.0,10,682,0.6720867208672086
S1014,24,477,0.3333333333333333,0.26785714285714285,0.15217391304347827,785,0.6888888888888891,0.53030303030303,2.0,6,0.0,0.0,9,682,0.7140921409214094
S1015,21,477,0.4305555555555556,0.8928571428571429,0.2173913043478261,785,0.9382716049382718,0.49999999999999983,1.0,6,1.0,0.0,7,682,0.6476964769647697
S1016,20,477,0.1388888888888889,0.10714285714285714,0.04347826086956522,785,0.8246913580246913,0.3636363636363635,2.0,3,1.0,2.0,8,318,0.3929539295392955
S1017,24,481,0.4722222222222222,0.4821428571428572,0.2608695652173913,785,0.869135802469136,0.6515151515151514,2.0,0,1.0,0.0,1,318,0.6043360433604337
S1018,24,42,0.2777777777777778,0.8750000000000001,0.6304347826086957,215,0.7111111111111112,0.5909090909090906,1.0,2,1.0,1.0,5,682,0.23983739837398382
S1019,19,477,0.25,0.44642857142857145,0.5217391304347826,785,0.28641975308641965,0.6515151515151514,0.0,1,1.0,0.0,2,682,0.2588075880758807
S1020,22,481,0.5277777777777778,0.4107142857142857,0.6304347826086957,785,0.5802469135802468,0.4848484848484848,1.0,3,2.0,1.0,1,682,0.437669376693767
S1021,21,477,0.7777777777777778,0.375,0.5217391304347826,785,0.8913580246913577,0.606060606060606,0.0,1,1.0,1.0,3,682,0.7628726287262872
S1022,18,42,0.6805555555555556,0.4107142857142857,0.13043478260869565,785,0.617283950617284,0.42424242424242414,0.0,3,1.0,0.0,7,682,0.9823848238482387
S1023,24,481,0.1527777777777778,0.7321428571428571,0.30434782608695654,215,0.7530864197530867,0.8787878787878785,0.0,6,0.0,1.0,1,682,0.2371273712737128
S1024,20,481,0.2777777777777778,0.0,0.19565217391304351,215,0.5506172839506172,0.34848484848484845,0.0,4,0.0,0.0,2,682,0.3888888888888889
S1025,22,477,0.6805555555555556,0.7678571428571428,0.7173913043478262,785,0.37530864197530867,0.8787878787878785,0.0,1,1.0,0.0,2,318,0.5921409214092141
S1026,22,477,0.2777777777777778,0.14285714285714288,0.10869565217391305,785,0.6000000000000001,0.49999999999999983,1.0,4,0.0,2.0,4,682,0.6409214092140922
